record_type,ring_no,scheme,scheme2,ring_no2,species_name,age,pulli_ringed,pulli_alive,sex,sexing_method,provisional_sex,breeding_condition,visit_date,capture_time,location_name,gridRef,habitat_1,habitat_2,status_code_1,status_code_2,lure_code_1,lure_code_2,wing_length,weight,date_measured,time_w,condition,moult_code,alula,old_greater_coverts,primary_moult,primary_covert_moult_scores,secondary_moult_scores,finding_condition,finding_circumstances,capture_method,metal_mark_info,ringer_initials,ringer_check_initials,processor_initials,extractor_initials,wing_initials,colour_mark_info,metal_mark_position,fatCombined,pectoral_muscle,body_moult,greater_covert_moult_scores,alula_moult_scores,carpal_covert_moult,wing_point,primary_length,bill_length_method,bill_length,head_bill_length,bill_depth_method,bill_depth,tarsus_length_method,tail_moult_scores,tarsus_length,tail_length,claw_length,plumage,tail_diff,lesser_median_covert_moult,underwing_covert_moult,head_moult,upperparts_moult,underparts_moult,permit_no,pullus_stage,extra_text,date_accuracy,left_leg_below,right_leg_below,left_leg_above,right_leg_above,neck_collar,left_wing_tag,right_wing_tag,nasal_saddle,sample_processed,high_tide_time,finder_name,own,own2,userc1,userc2,email,userc3,userc4,userc5,userv1,userv2,userv3,userv4,userv5,l_primary_moult_scores,l_secondary_moult_scores,l_tail_moult_scores,l_primary_covert_moult_scores,l_greater_covert_moult_scores,l_carpal_covert_moult,l_alula_moult_scores,toe_span
S,KKJ625,GBT,,,Chiffchaff,4,,,F,B,U,4,31/07/2019,09:00,CES2-LIP (CES2-LIP),TQ7776,B1,--,U,U,U,U,55,7.3,31/07/2019,09:00,N,M,,,5110000000,,,8,20,M,-,-,-,SGK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
N,JNT800,GBT,,,Chiffchaff,3J,,,U,U,U,,31/07/2019,09:00,CES2-LIP (CES2-LIP),TQ7776,B1,--,U,U,U,U,55,6.8,31/07/2019,09:00,N,P,,,,,,0,--,M,N,-,-,SGK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,JNT799,GBT,,,Chiffchaff,3J,,,U,U,U,,31/07/2019,09:00,CES2-LIP (CES2-LIP),TQ7776,B1,--,U,U,U,U,57,6.7,31/07/2019,09:00,N,P,,,,,,0,--,M,N,SGK,-,SGK,-,SGK,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,JNT789,GBT,,,Wren,3J,,,U,U,U,,31/07/2019,05:00,CES2-LIP (CES2-LIP),TQ7776,B1,--,U,U,U,U,49,9.3,31/07/2019,05:00,N,J,,,,,,0,--,M,N,-,-,RK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,JNT797,GBT,,,Chiffchaff,4,,,M,C,U,C,31/07/2019,07:00,CES1-LIP (CES1-LIP),TQ7776,B1,--,U,U,U,U,64,8.1,31/07/2019,07:00,N,M,,,5554100000,,,0,--,M,N,-,-,SGK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,ANE8512,GBT,,,Blue Tit,3J,,,U,U,U,,30/07/2019,10:00,CES7-NOR (CES7-NOR),TQ7876,B1,--,U,U,U,U,64,10.9,30/07/2019,10:00,N,P,,,,,,8,20,M,-,-,-,MYM,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
N,ABJ2184,GBT,,,Blackcap,3J,,,U,U,U,,30/07/2019,08:00,CES7-NOR (CES7-NOR),TQ7876,B1,--,U,U,U,U,76,18.2,30/07/2019,08:00,N,P,,,,,,0,--,M,N,-,-,MYM,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,ABJ2162,GBT,,,Reed Warbler,4,,,F,B,U,5,30/07/2019,06:00,CES7-NOR (CES7-NOR),TQ7876,B1,--,U,U,U,U,66,11.8,30/07/2019,06:00,N,B,,,,,,0,--,M,N,-,-,MYM,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,ABJ2161,GBT,,,Blackcap,3J,,,U,U,U,,30/07/2019,06:00,CES7-NOR (CES7-NOR),TQ7876,B1,--,U,U,U,U,74,16.3,30/07/2019,06:00,N,P,,,,,,0,--,M,N,-,-,MYM,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,ABJ2160,GBT,,,Robin,3J,,,U,U,U,,30/07/2019,06:00,CES7-NOR (CES7-NOR),TQ7876,B1,--,U,U,U,U,72,15.8,30/07/2019,06:00,N,J,,,,,,0,--,M,N,-,-,MYM,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,LL57136,GBT,,,Blackbird,3J,,,M,P,U,,30/07/2019,08:00,CES6-NOR (CES6-NOR),TQ7876,B1,--,U,U,U,U,131,88.8,30/07/2019,08:00,N,J,,,,,,8,20,M,-,-,-,MYM,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
N,KKK333,GBT,,,Chiffchaff,3J,,,U,U,U,,30/07/2019,10:00,CES5-NOR (CES5-NOR),TQ7876,B1,--,U,U,U,U,56,7.4,30/07/2019,10:00,N,P,,,,,,0,--,M,N,-,-,MYM,-,,-,U,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,KKK332,GBT,,,Wren,3J,,,U,U,U,,30/07/2019,10:00,CES5-NOR (CES5-NOR),TQ7876,B1,--,U,U,U,U,48,8.9,30/07/2019,10:00,N,P,,,,,,0,--,M,N,-,-,MYM,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,ABJ2190,GBT,,,Blackcap,3J,,,U,U,U,,30/07/2019,09:00,CES5-NOR (CES5-NOR),TQ7876,B1,--,U,U,U,U,76,18.6,30/07/2019,09:00,N,P,,,,,,0,--,M,N,-,-,MYM,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,ABJ2188,GBT,,,Blue Tit,3J,,,U,U,U,,30/07/2019,09:00,CES5-NOR (CES5-NOR),TQ7876,B1,--,U,U,U,U,64,11.1,30/07/2019,09:00,N,P,,,,,,0,--,M,N,-,-,MYM,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,KKK329,GBT,,,Chiffchaff,3J,,,U,U,U,,30/07/2019,07:00,CES5-NOR (CES5-NOR),TQ7876,B1,--,U,U,U,U,56,7.5,30/07/2019,07:00,N,T,,,,,,0,--,M,N,-,-,MYM,-,,-,U,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
